Structure Height,Structure Type,Structure Number,Long Side (A),A/2,Short Side (B),B/2,Diagonal (C),C/2\\n
100',Tangent,89190,"23' 5 13/16""","11' 8 29/32""","12' 9 7/16""","6' 4 23/32""","26' 8 5/16""","13' 4 5/32"""\\n
105',Tangent,89190,"25' 1/8""","12' 6 1/16""","13' 3 5/8""","6' 7 13/16""","28' 3 3/8""","14' 1 11/16"""\\n
110',Tangent,89190,"26' 6 3/8""","13' 3 3/16""","13' 9 13/16""","6' 10 29/32""","29' 10 13/32""","14' 11 13/64"""\\n
115',Tangent,89190,"28' 11/16""","14' 11/32""","14' 4 1/16""","7' 2 1/32""","31' 5 9/16""","15' 8 25/32"""\\n
120',Tangent,89190,"29' 7""","14' 9 3/16""","14' 10 1/4""","7' 5 1/8""","33' 11/16""","16' 6 5/16"""\\n
125',Tangent,89190,"31' 1 5/16""","15' 6 21/32""","15' 4 7/16""","7' 8 7/32""","34' 7 13/16""","17' 3 59/64"""\\n
130',Tangent,89190,"32' 6 3/4""","16' 3 3/8""","15' 9 27/32""","7' 10 59/64""","36' 1 29/32""","18' 61/64"""\\n
135',Tangent,89190,"34' 1 1/32""","17' 33/64""","16' 4 1/16""","8' 2 1/32""","37' 9 1/16""","18' 10 17/32"""\\n
140',Tangent,89190,"35' 7 11/32""","17' 9 43/64""","16' 10 9/32""","8' 5 9/64""","39' 4 9/32""","19' 8 9/64"""\\n
145',Tangent,89190,"37' 1 5/8""","18' 6 13/16""","17' 4 15/32""","8' 8 15/64""","40' 11 15/32""","20' 5 47/64"""\\n
150',Tangent,89190,"38' 7 11/32""","19' 3 43/64""","17' 10 11/16""","8' 11 11/32""","42' 6 11/16""","21' 3 11/32"""\\n
155',Tangent,89190,"40' 2 1/4""","20' 1 1/8""","18' 4 29/32""","9' 2 29/64""","44' 1 15/16""","22' 31/32"""\\n
160',Tangent,89190,"41' 7 1/2""","20' 9 3/4""","18' 10 1/8""","9' 5 1/16""","45' 7 25/32""","22' 9 57/64"""\\n
165',Tangent,89190,"43' 1 13/16""","21' 6 29/32""","19' 4 5/16""","9' 8 5/32""","47' 3 1/32""","23' 7 33/64"""\\n
170',Tangent,89190,"44' 8 1/8""","22' 4 1/16""","19' 10 9/16""","9' 11 9/32""","48' 10 9/32""","24' 5 9/64"""\\n

